Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-33,12.911646,77.640863,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-34,12.910856,77.641628,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-47,12.910683,77.641435,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-49,12.91038,77.641171,,,,,,,,
Mphasis,Ugrappa Park/Swabimana park,15,Bommanahalli zone,,,PW-50,12.910287,77.641387,,,,,,,,
Mphasis,Ugrappa park / swabimana park,15,Bommanahalli zone,,,PW-51,12.91025,77.640986,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-52,12.907252,77.639698,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-52,12.910172,77.638314,,,,,,,,
Mphasis,Ugrappa Park/Swabimana park,15,Bommanahalli zone,,,PW-53,12.910388,77.640329,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli,,,PW-55,12.908783,77.639872,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-57,12.910465,77.63951,,,,,,,,
Mphasis,Ugrappa Park/Swabimana park,15,Ugrappa Park/Swabimana park,,,PW-56,12.910842,77.640124,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli,,,PW-29,12.910636,77.639525,,,,,,,,
Mphasis,Ugrappa Park/Swabimana park,15,Bommanahalli zone,,,PW-39,12.91065,77.639488,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-28,12.910655,77.639441,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli,,,PW-27,12.910623,77.63945,,,,,,,,
Mphasis,Ugrappa Park/Swabimana park,15,Bommanahalli zone,,,PW-41,12.910655,77.639846,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-24,12.910691,77.639643,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,Pw-61,12.911343,77.639736,,,,,,,,
Mphasis,Ugrappa Park/Swabimana park,15,Bommanahalli zone,,,PW-42,12.910787,77.640152,,,,,,,,
