SL No,Donor Name,Location Name,Latitude ,Longitude,Google location,No of Percolation well Constructed,Year of Completion,Zone,Ward Number,Location by Parks/Campuses
138,Broadcom,Armed Personnel Training School Campus,13.12465501,77.60497063,https://maps.app.goo.gl/P9PZjLQZgTabS4DA7,24,Mar-24,Yelahanka Zone,,Police Campus
139,Broadcom,Armed Personnel Training School Campus,13.12465501,77.60497063,https://maps.app.goo.gl/P9PZjLQZgTabS4DA7,3,Mar-24,Yelahanka Zone,,Police Campus
140,Broadcom,Sahakarnagar Park 2,13.06055545,77.58918407,https://maps.app.goo.gl/NB4EMcoRLwzfq3SAA,5,Mar-24,Yelahanka Zone,,BBMP Park
141,Broadcom,Yogi Vemana Park,13.09855709,77.57189702,https://maps.app.goo.gl/WR4Xmw5Ru2TqD94h7,6,Mar-24,Yelahanka Zone,,BBMP Park
142,Broadcom,Sir. M Vishveshwaraiah Park,13.09826923,77.57980314,https://maps.app.goo.gl/5utEzUrdgfrQJLiR7,35,Mar-24,Yelahanka Zone,,BBMP Park
143,Broadcom,Cauvery Park,13.09830645,77.57689764,https://maps.app.goo.gl/tkqxRSG5mVDhEJs39,3,Mar-24,Yelahanka Zone,,BBMP Park
144,Broadcom,Rashtrakavi kuvempu Park,13.10368218,77.57403914,https://maps.app.goo.gl/Eo6xiMwe159h2uQw6,6,Mar-24,Yelahanka Zone,,BBMP Park
145,Broadcom,Kittoor Rani Chennamma Park,13.10162912,77.57382388,https://maps.app.goo.gl/bxaKh9sBbahDLrZL8,1,Mar-24,Yelahanka Zone,,BBMP Park
146,Broadcom,District Armed Reserve Police Campus,12.99146602,77.47851769,https://maps.app.goo.gl/WNYsz9tzNZTMDx91A,100,Mar-24,Yelahanka Zone,,Police Campus
147,Broadcom,District Armed Reserve Police Campus,12.99146602,77.47851769,https://maps.app.goo.gl/WNYsz9tzNZTMDx91A,53,Mar-24,Yelahanka Zone,,Police Campus
148,Broadcom,ASC Centre,12.93911366,77.63298828,https://maps.app.goo.gl/jpi6UYD1aBBuY97F7,119,Mar-24,East Zone,,Defence Campus
149,Broadcom,ASC Centre (Iblur),12.93930704,77.63338362,https://maps.app.goo.gl/DLMXVX8J29e6TiE18,20,Mar-24,Bommanahalli Zone,,Defence Campus
150,Broadcom,Shettihalli Anjaneya Temple Park,13.06678688,77.51709812,https://maps.app.goo.gl/xUdQYLJnhjjXTq5n9,5,Mar-24,Dasarahalli zone,,BBMP Park
151,Broadcom,Shettihalli park-2,13.0642037,77.51434658,https://maps.app.goo.gl/j2b9e7ZVAn9eGz379,4,Mar-24,Dasarahalli zone,,BBMP Park
152,Broadcom,MEI Layout Park 5,13.05849262,77.50569189,https://maps.app.goo.gl/Ni6y2x8aRVe6BwSQ8,9,Mar-24,Dasarahalli zone,,BBMP Park
153,Broadcom,Nela Maheshwari Park,13.04915937,77.5108994,https://maps.app.goo.gl/Ny9mXPw9iqfbd6Yz7,3,Mar-24,Dasarahalli zone,,BBMP Park
154,Broadcom,Gruhalakshmi Layout Park 2,13.03244231,77.49871166,https://maps.app.goo.gl/3GirKuxLayC9GPHJA,8,Mar-24,Dasarahalli zone,,BBMP Park
155,Broadcom,Gruhalakshmi Layout Park 1,13.02659374,77.49737923,https://maps.app.goo.gl/ZLsyxMwdtQCXL97z8,5,Mar-24,Dasarahalli zone,,BBMP Park
156,Broadcom,Manjunatha Temple Park,13.01799347,77.51918532,https://maps.app.goo.gl/2DKD5vcA7FgiG3D18,6,Mar-24,Dasarahalli zone,,BBMP Park
157,Broadcom,Visvaswariah Enclave Park,13.06563299,77.53349882,https://maps.app.goo.gl/g1aD6YdyrJNP9Ger7,5,Mar-24,Dasarahalli zone,,BBMP Park
158,Broadcom,Gurahalakshmi Layout Part 4,13.02973351,77.49927994,https://maps.app.goo.gl/rzC5q1wysahsDtEDA,9,Mar-24,Dasarahalli zone,,BBMP Park
159,Broadcom,Geleyara Balaga Playground,13.07047213,77.50884705,https://maps.app.goo.gl/tVALMxhdwi8G6a5z8,4,Mar-24,Dasarahalli zone,,BBMP Park
160,Broadcom,Shettyhalli Park -1,13.06435043,77.51455945,https://goo.gl/maps/vzfVtM9c1TmbfPVE8,3,Mar-24,Dasarahalli zone,,BBMP Park
161,Broadcom,MEI Layout Park 2,13.06059982,77.50658522,https://maps.app.goo.gl/c74BwXWBLpz73B3u8,10,Mar-24,Dasarahalli zone,,BBMP Park
162,Broadcom,MEI Layout Park 3,13.06272644,77.5018956,https://maps.app.goo.gl/YbbT1pbuspuBQk7DA,6,Mar-24,Dasarahalli zone,,BBMP Park
163,Broadcom,BBMP Nursery Park,13.06882548,77.50144126,https://maps.app.goo.gl/EAruAdQFjk9SA8WVA,4,Mar-24,Dasarahalli zone,,BBMP Park
164,Broadcom,Kirloskar Layout Park 2,13.06574788,77.50200243,https://maps.app.goo.gl/E1yQAc49XjSkMNYKA,3,Mar-24,Dasarahalli zone,,BBMP Park
165,Broadcom,PHC Centre Backside Park (BWSSB),12.99738807,77.76174342,https://maps.app.goo.gl/idVhb4qYwm3fR3g97,3,Mar-24,East Zone,,BWSSB Dept
166,Broadcom,Sahakarnagar Park 1,13.06310149,77.58550087,https://maps.app.goo.gl/8VK1524rtFQhAMhC8,11,Mar-24,Yelahanka Zone,,BBMP Park
167,Broadcom,Ramana Maharshi Park,13.10426609,77.57454471,https://maps.app.goo.gl/mrm8QUoWryM77K2DA,2,Mar-24,Yelahanka Zone,,BBMP Park
168,Broadcom,Madiwala Machayya Park,13.10611562,77.57051317,https://maps.app.goo.gl/La6CnwKtwYdjaDmr9,10,Mar-24,Yelahanka Zone,,BBMP Park
169,Broadcom,Kuvempu Park,13.10364867,77.57406239,https://maps.app.goo.gl/vbCAnCYtTymXgvK79,6,Mar-24,Yelahanka Zone,,BBMP Park
170,Broadcom,Abdul Kalam Park,13.08298224,77.54374275,https://maps.app.goo.gl/Z9DLTj8txuU2c4Kr8,6,Mar-24,Yelahanka Zone,,BBMP Park
171,Broadcom,Vibhuthipura,12.96302124,77.6733074,https://maps.app.goo.gl/orWP1URQsnxeiXQa7,9,Mar-24,East Zone,,BWSSB Dept
172,Broadcom,A Narayanapura,12.99064627,77.68110659,https://maps.app.goo.gl/LxXuys6Rie4EkRef8,8,Mar-24,East Zone,,BBMP Park
173,ANZ Operations,Police Training School Campus,13.07701774,77.62576647,https://maps.app.goo.gl/ZthZRamGD7gQHuo56,48,Mar-24,Yelahanka Zone,,Police Campus
174,Collins Aerospace,Central Reserve Police Force Campus-(CRPF),13.12329458,77.57149339,https://maps.app.goo.gl/T5QpVDYZKEt6PkTF9,89,Mar-24,Yelahanka Zone,,Defence Campus
175,GE Oil and Gas,Armed Personnel Training School Campus,13.12465501,77.60479897,https://maps.app.goo.gl/P9PZjLQZgTabS4DA7,58,Mar-24,Yelahanka Zone,,Police Campus
176,Morgan Stanley,Panchakshari Gawai Park,13.10342441,77.57456755,https://maps.app.goo.gl/rmq6WHSKU3rjzN1a9,12,Mar-24,Yelahanka Zone,,BBMP Park
177,Morgan Stanley,Chowdeshwari Park,13.10221457,77.57380771,https://maps.app.goo.gl/frM83nqgQ1bU9wKH9,8,Mar-24,Yelahanka Zone,,BBMP Park
178,Morgan Stanley,Kittoor Rani Chennamma Park,13.10150701,77.57305734,https://maps.app.goo.gl/bxaKh9sBbahDLrZL8,20,Mar-24,Yelahanka Zone,,BBMP Park
179,Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,13.10056634,77.57180071,https://maps.app.goo.gl/JogMUnmFzGk7oGkc6,11,Mar-24,Yelahanka Zone,,BBMP Park
180,Morgan Stanley,Jhansi Rani Lakshmibai Park,13.10004659,77.57551197,https://maps.app.goo.gl/aPj4N8CK1H2vs4ui9,5,Mar-24,Yelahanka Zone,,BBMP Park
181,Morgan Stanley,B.M Shrikantaiah Park,13.09971679,77.57217492,https://maps.app.goo.gl/ffMXe4V5HpzSebEV7,23,Mar-24,Yelahanka Zone,,BBMP Park
182,Morgan Stanley,Dr. Ambedkar Park,13.10218162,77.58605559,https://maps.app.goo.gl/JzNRB14ctLYpSNGK8,15,Mar-24,Yelahanka Zone,,BBMP Park
183,Morgan Stanley,Shivramkaranth Park,13.1001944,77.57341746,https://maps.app.goo.gl/bEqeeH1qLBH6PyRc9,10,Mar-24,Yelahanka Zone,,BBMP Park
184,Morgan Stanley,Near Indira Canteen Park(BWSSB),12.99818634,77.76031644,https://maps.app.goo.gl/trMbTuqDGbYeUT1r8,4,Mar-24,Yelahanka Zone,,BWSSB Dept
185,PWC,Police Driving and Maintenance School,13.12497214,77.60699385,https://maps.app.goo.gl/bP73ytoJs6eToKHs5,51,Mar-24,Yelahanka Zone,,Police Campus
186,PWC,Defence Layout Park Devamatha School,13.0837177,77.55735421,https://maps.app.goo.gl/5Mbg5AEGVnVaQtaa9,7,Mar-24,Yelahanka Zone,,BBMP Park
187,PWC,Vidyaranyapura Play ground,13.08383238,77.55841304,https://maps.app.goo.gl/FjbNhNvm2eme3jbs5,3,Mar-24,Yelahanka Zone,,BBMP Park
188,PWC,Ganesha Temple Park,13.10464296,77.57544211,https://maps.app.goo.gl/oKKUwr3vEtdczUJz9,6,Mar-24,Yelahanka Zone,,BBMP Park
189,PWC,Da.ra. Bendre Park,13.10345175,77.57574613,https://maps.app.goo.gl/7BXQgaPPggx5enoS7,4,Mar-24,Yelahanka Zone,,BBMP Park
190,PWC,Subhash Chandra Bose Park,13.10399023,77.57611021,https://maps.app.goo.gl/TWqYMG8Dc1Rr7AnE8,4,Mar-24,Yelahanka Zone,,BBMP Park
191,PWC,Yelahanka Park,13.10594131,77.57651497,https://maps.app.goo.gl/SjYPRUhSnEqxk3pD6,5,Mar-24,Yelahanka Zone,,BBMP Park
192,PWC,Abdul Kalam Park,13.10665823,77.57588442,https://maps.app.goo.gl/wcQT4Lz22GtCsfuf9,4,Mar-24,Yelahanka Zone,,BBMP Park
193,PWC,Krishnadevaraya Park,13.10501517,77.57489158,https://maps.app.goo.gl/uPH7dxbrnr6YgYJt8,3,Mar-24,Yelahanka Zone,,BBMP Park
194,PWC,Valmiki Park,13.09942768,77.57486501,https://maps.app.goo.gl/6sHEHiw56TBvJ1XHA,4,Mar-24,Yelahanka Zone,,BBMP Park
195,PWC,Jhansi Rani lakshmi Bai,13.09987854,77.57525992,https://maps.app.goo.gl/CR4SWVWsfaBunLUb8,2,Mar-24,Yelahanka Zone,,BBMP Park
